ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
1 Chronicles 1:41,1 Chronicles,1,41,0,none,different_from_both,"Sons of Anah: Dishan. Sons of Dishan: Emeron, Eshban, Ithran, and Haran.","The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran.","The sons of Sonan, Dæson: and the sons of Dæson; Emeron, and Asebon, and Jethram, and Charran.",0.760,0.658
2 Samuel 12:6,2 Samuel,12,6,0,none,different_from_both,"And he will repay the ewe lamb sevenfold, because he did this thing and because he did not spare.","And he shall restore the lamb fourfold, because he did this thing, and because he had no pity.","And he shall restore the lamb seven-fold, because he has not spared.",0.785,0.683
2 Samuel 23:26,2 Samuel,23,26,0,none,different_from_both,"Helez the Phelothite, Ira son of Ikkesh the Thekoite,","Helez the Paltite, Ira the son of Ikkesh the Tekoite,",Selles the Kelothite: Iras the son of Isca the Thecoite.,0.902,0.800
Ezekiel 45:21,Ezekiel,45,21,0,none,different_from_both,"And in the first month, on fourteenth of the month, you will have Passover, a feast of seven days; unleavened bread you will eat.","In the first month, in the fourteenth day of the month, all of you shall have the passover, a feast of seven days; unleavened bread shall be eaten.","And in the first month, on the fourteenth day of the month, ye shall have the feast of the passover; seven days shall ye eat unleavened bread.",0.835,0.733
Ezekiel 48:23,Ezekiel,48,23,0,none,different_from_both,"And for rest of the tribes, from east side to west side, Benjamin, one portion.","As for the rest of the tribes, from the east side unto the west side, Benjamin shall have a portion.","And as for the rest of the tribes, from the eastern parts as far as the western, Benjamin shall have one portion.",0.826,0.724
Ezekiel 6:2,Ezekiel,6,2,0,none,different_from_both,"Son of man, set your face toward mountains of Israel and prophesy against them,","Son of man, set your face toward the mountains of Israel, and prophesy against them,","Son of man, set thy face against the mountains of Israel, and prophesy against them;",0.975,0.873
Leviticus 24:19,Leviticus,24,19,0,none,different_from_both,"And if anyone gives a blemish to his neighbor, as he did, so it shall be done back to him:","And if a man cause a blemish in his neighbour; as he has done, so shall it be done to him;","And whosoever shall inflict a blemish on his neighbour, as he has done to him, so shall it be done to himself in return;",0.759,0.657
1 Chronicles 26:15,1 Chronicles,26,15,0,none,different_from_both,"To Obededom, south, opposite house of Asuppim.",To Obededom southward; and to his sons the house of Asuppim.,"To Abdedom they gave by lot the south, opposite the house of Esephim.",0.792,0.691
1 Chronicles 3:22,1 Chronicles,3,22,0,none,different_from_both,"And son of Shecaniah: Shemaiah. And sons of Shemaiah: Hattush and Joel and Bariah and Neariah and Shaphat, six.","And the sons of Shechaniah; Shemaiah: and the sons of Shemaiah; Hattush, and Igeal, and Bariah, and Neariah, and Shaphat, six.","And the son of Sechenias; Samaia: and the sons of Samaia; Chattus, and Joel, and Berri and Noadia, and Saphath, six.",0.933,0.832
Genesis 46:16,Genesis,46,16,0,none,different_from_both,And the sons of Gad: Zephon and Haggi and Shuni and Ezbon and Eri and Arodi and Areli.,"And the sons of Gad; Ziphion, and Haggi, Shuni, and Ezbon, Eri, and Arodi, and Areli.","And the sons of Gad; Saphon, and Angis, and Sannis, and Thasoban, and Aedis, and Aroedis, and Areelis.",0.932,0.831
1 Chronicles 2:43,1 Chronicles,2,43,0,none,different_from_both,"And sons of Hebron: Kore, Tappuah, Rekem, and Shema.","And the sons of Hebron; Korah, and Tappuah, and Rekem, and Shema.","And the sons of Chebron; Core, and Thapphus, and Recom, and Samaa.",0.860,0.759
1 Chronicles 7:22,1 Chronicles,7,22,0,none,different_from_both,"And Ephraim their father mourned many days, and his brothers came to comfort him.","And Ephraim their father mourned many days, and his brethren came to comfort him.","And their father Ephraim mourned many days, and his brethren came to comfort him.",0.962,0.861
1 Chronicles 8:27,1 Chronicles,8,27,0,none,different_from_both,"and Jaresiah and Eliah and Zichri, sons of Jeroham.","And Jaresiah, and Eliah, and Zichri, the sons of Jeroham.","and Jarasia, and Eria, and Zechri, son of Iroam.",0.961,0.860
Ezra 10:40,Ezra,10,40,0,none,different_from_both,"Machnadebai, Sese, Sharai,","Machnadebai, Shashai, Sharai,","Machadnabu, Sesei, Sariu,",0.857,0.756
Genesis 37:30,Genesis,37,30,0,none,different_from_both,"And he returned to his brothers and said, The child is not there, and I, where shall I still go?","And he returned unto his brethren, and said, The child is not; and I, where shall I go?","And he returned to his brethren and said, The boy is not; and I, whither am I yet to go?",0.885,0.784
Jeremiah 11:9,Jeremiah,11,9,0,none,different_from_both,"And the Lord said to me, A conspiracy was found among men of Judah and among inhabitants of Jerusalem.","And the LORD said unto me, A conspiracy is found among the men of Judah, and among the inhabitants of Jerusalem.","And the Lord said to me, A conspiracy is found among the men of Juda, and among the dwellers in Jerusalem.",0.938,0.837
Judges 9:21,Judges,9,21,0,none,different_from_both,And Jotham ran away and went on the road and fled to Rara and dwelt there away from the face of Abimelech his brother.,"And Jotham ran away, and fled, and went to Beer, and dwelt there, for fear of Abimelech his brother.","And Joatham fled, and ran away, and went as far as Bæer, and dwelt there out of the way of his brother Abimelech.",0.774,0.673
Nehemiah 13:10,Nehemiah,13,10,0,none,different_from_both,"And I knew that portions of the Levites had not been given, and the Levites and the singers doing the work fled, each man to his own field.","And I perceived that the portions of the Levites had not been given them: for the Levites and the singers, that did the work, were fled every one to his field.","And I understood that the portion of the Levites had not been given: and they had fled every one to his field, the Levites and the singers doing the work.",0.811,0.711
Numbers 13:10,Numbers,13,10,0,none,different_from_both,"from the tribe of Zebulun, Gaddiel son of Sodi;","Of the tribe of Zebulun, Gaddiel the son of Sodi.","Of the tribe of Zabulon, Gudiel the son of Sudi.",0.913,0.813
1 Kings 2:40,1 Kings,2,40,0,none,different_from_both,"And Shimei rose and saddled his donkey and went to Gath to Achish to seek his slaves, and Shimei went and brought his slaves from Gath.","And Shimei arose, and saddled his ass, and went to Gath to Achish to seek his servants: and Shimei went, and brought his servants from Gath.","And Semei rose up, and saddled his ass, and went to Geth to Anchus to seek out his servants: and Semei went, and brought his servants out of Geth.",0.903,0.803
2 Samuel 11:14,2 Samuel,11,14,0,none,different_from_both,"And it came to be in the morning, David wrote a letter to Joab and sent it by the hand of Uriah.","And it came to pass in the morning, that David wrote a letter to Joab, and sent it by the hand of Uriah.","And the morning came, and David wrote a letter to Joab, and sent it by the hand of Urias.",0.944,0.844
2 Samuel 21:13,2 Samuel,21,13,0,none,different_from_both,"And he brought up from there the bones of Saul and the bones of Jonathan his son, and they gathered the bones of the ones exposed to the sun.",And he brought up from thence the bones of Saul and the bones of Jonathan his son; and they gathered the bones of them that were hanged.,"And he carried up thence the bones of Saul and the bones of Jonathan his son, and gathered the bones of them that had been hanged.",0.879,0.779
Ecclesiastes 6:6,Ecclesiastes,6,6,0,none,different_from_both,"And if he lived a thousand years twice over and did not see good, do not all go to one place?","Yea, though he live a thousand years twice told, yet has he seen no good: do not all go to one place?","Though he has lived to the return of a thousand years, yet he has seen no good: do not all go to one place?",0.787,0.687
Genesis 4:24,Genesis,4,24,0,none,different_from_both,"Because Cain has been avenged sevenfold, but Lamech seventy times seven.'","If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold.","Because vengeance has been exacted seven times on Cain's behalf, on Lamech's it shall be seventy times seven.",0.763,0.663
Isaiah 65:17,Isaiah,65,17,0,none,different_from_both,"For there will be new heaven and new earth, and former things will not be remembered nor come upon heart.","For, behold, I create new heavens and a new earth: and the former shall not be remembered, nor come into mind.","For there shall be a new heaven and a new earth: and they shall not at all remember the former, neither shall they at all come into their mind.",0.750,0.650
Judges 21:10,Judges,21,10,0,none,different_from_both,"And the congregation sent there twelve thousand men from the sons of might and commanded them, saying, Go and strike all dwelling in Jabesh Gilead with the edge of the sword, and the women and the people.","And the congregation sent thither twelve thousand men of the valiant, and commanded them, saying, Go and strike the inhabitants of Jabeshgilead with the edge of the sword, with the women and the children.","And the congregation sent thither twelve thousand men of the strongest, and they charged them, saying, Go ye and smite the inhabitants of Jabis Galaad with the edge of the sword.",0.827,0.727
Leviticus 9:10,Leviticus,9,10,0,none,different_from_both,"And the fat and the kidneys and the lobe of the liver of the sin-offering he offered on the altar, just as the Lord commanded Moses.","But the fat, and the kidneys, and the lobe above the liver of the sin offering, he burnt upon the altar; as the LORD commanded Moses.","And he offered up on the altar the fat and the kidneys and the lobe of the liver of the sin-offering, according as the Lord commanded Moses.",0.891,0.791
Numbers 26:8,Numbers,26,8,0,none,same_as_mt_differs_from_brenton,And the sons of Pallu: Eliab.,And the sons of Pallu; Eliab.,"And the sons of Phallu were Eliab,—",1.000,0.900
